Num.of.Individuals,Num.of.Markers,Type,accuracy,SD,Comparison,
50,90,R,0.9995,0.002236068,Yorkie_Lab,
50,100,R,0.999,0.003077935,Yorkie_Lab,
10,10,T,1,0,LWK_CDX,
10,20,T,1,0,LWK_CDX,
10,30,T,1,0,LWK_CDX,
10,40,T,1,0,LWK_CDX,
10,50,T,1,0,LWK_CDX,
10,60,T,1,0,LWK_CDX,
10,70,T,1,0,LWK_CDX,
10,80,T,1,0,LWK_CDX,
10,90,T,1,0,LWK_CDX,
10,100,T,1,0,LWK_CDX,
20,10,T,1,0,LWK_CDX,
20,20,T,1,0,LWK_CDX,
20,30,T,1,0,LWK_CDX,
20,40,T,1,0,LWK_CDX,
20,50,T,1,0,LWK_CDX,
20,60,T,1,0,LWK_CDX,
20,70,T,1,0,LWK_CDX,
20,80,T,1,0,LWK_CDX,
20,90,T,1,0,LWK_CDX,
20,100,T,1,0,LWK_CDX,
30,10,T,1,0,LWK_CDX,
30,20,T,1,0,LWK_CDX,
30,30,T,1,0,LWK_CDX,
30,40,T,1,0,LWK_CDX,
30,50,T,1,0,LWK_CDX,
30,60,T,1,0,LWK_CDX,
30,70,T,1,0,LWK_CDX,
30,80,T,1,0,LWK_CDX,
30,90,T,1,0,LWK_CDX,
30,100,T,1,0,LWK_CDX,
40,10,T,1,0,LWK_CDX,
40,20,T,1,0,LWK_CDX,
40,30,T,1,0,LWK_CDX,
40,40,T,1,0,LWK_CDX,
40,50,T,1,0,LWK_CDX,
40,60,T,1,0,LWK_CDX,
40,70,T,1,0,LWK_CDX,
40,80,T,1,0,LWK_CDX,
40,90,T,1,0,LWK_CDX,
40,100,T,1,0,LWK_CDX,
50,10,T,1,0,LWK_CDX,
50,20,T,1,0,LWK_CDX,
50,30,T,1,0,LWK_CDX,
50,40,T,1,0,LWK_CDX,
50,50,T,1,0,LWK_CDX,
50,60,T,1,0,LWK_CDX,
50,70,T,1,0,LWK_CDX,
50,80,T,1,0,LWK_CDX,
50,90,T,1,0,LWK_CDX,
50,100,T,1,0,LWK_CDX,
10,10,R,0.8775,0.093857395,LWK_CDX,
10,20,R,0.9575,0.067424422,LWK_CDX,
10,30,R,0.985,0.028562029,LWK_CDX,
10,40,R,0.995,0.015389675,LWK_CDX,
10,50,R,0.9975,0.01118034,LWK_CDX,
10,60,R,1,0,LWK_CDX,
10,70,R,1,0,LWK_CDX,
10,80,R,1,0,LWK_CDX,
10,90,R,1,0,LWK_CDX,
10,100,R,1,0,LWK_CDX,
20,10,R,0.895,0.069585237,LWK_CDX,
20,20,R,0.9575,0.045954783,LWK_CDX,
20,30,R,0.9825,0.028214405,LWK_CDX,
20,40,R,0.995,0.010259784,LWK_CDX,
20,50,R,0.99875,0.00559017,LWK_CDX,
20,60,R,1,0,LWK_CDX,
20,70,R,1,0,LWK_CDX,
20,80,R,1,0,LWK_CDX,
20,90,R,1,0,LWK_CDX,
20,100,R,1,0,LWK_CDX,
30,10,R,0.888333333,0.060238318,LWK_CDX,
30,20,R,0.96,0.039142863,LWK_CDX,
30,30,R,0.986666667,0.019941435,LWK_CDX,
30,40,R,0.995,0.007836039,LWK_CDX,
30,50,R,0.999166667,0.00372678,LWK_CDX,
30,60,R,0.999166667,0.00372678,LWK_CDX,
30,70,R,1,0,LWK_CDX,
30,80,R,1,0,LWK_CDX,
30,90,R,1,0,LWK_CDX,
30,100,R,1,0,LWK_CDX,
40,10,R,0.893125,0.05248355,LWK_CDX,
40,20,R,0.96625,0.030645468,LWK_CDX,
40,30,R,0.98875,0.015654577,LWK_CDX,
40,40,R,0.995625,0.007339287,LWK_CDX,
40,50,R,0.999375,0.002795085,LWK_CDX,
40,60,R,0.999375,0.002795085,LWK_CDX,
40,70,R,1,0,LWK_CDX,
40,80,R,1,0,LWK_CDX,
40,90,R,1,0,LWK_CDX,
40,100,R,1,0,LWK_CDX,
50,10,R,0.8915,0.051735664,LWK_CDX,
50,20,R,0.9645,0.029995614,LWK_CDX,
50,30,R,0.99,0.013377121,LWK_CDX,
50,40,R,0.9955,0.006863327,LWK_CDX,
50,50,R,0.9995,0.002236068,LWK_CDX,
50,60,R,0.9995,0.002236068,LWK_CDX,
50,70,R,1,0,LWK_CDX,
50,80,R,1,0,LWK_CDX,
50,90,R,1,0,LWK_CDX,
10,10,T,1,0,PUR_ACB,
10,20,T,1,0,PUR_ACB,
10,30,T,1,0,PUR_ACB,
10,40,T,1,0,PUR_ACB,
10,50,T,1,0,PUR_ACB,
10,60,T,1,0,PUR_ACB,
10,70,T,1,0,PUR_ACB,
10,80,T,1,0,PUR_ACB,
10,90,T,1,0,PUR_ACB,
10,100,T,1,0,PUR_ACB,
20,10,T,0.975,0,PUR_ACB,
20,20,T,0.975,0,PUR_ACB,
20,30,T,1,0,PUR_ACB,
20,40,T,1,0,PUR_ACB,
20,50,T,1,0,PUR_ACB,
20,60,T,1,0,PUR_ACB,
20,70,T,1,0,PUR_ACB,
20,80,T,1,0,PUR_ACB,
20,90,T,1,0,PUR_ACB,
20,100,T,1,0,PUR_ACB,
