"Num.of.Individuals","Num.of.Markers","Type","Replicate 1","Replicate 2","Replicate 3","Replicate 4","Replicate 5","Replicate 6","Replicate 7","Replicate 8","Replicate 9","Replicate 10","Replicate 11","Replicate 12","Replicate 13","Replicate 14","Replicate 15","Replicate 16","Replicate 17","Replicate 18","Replicate 19","Replicate 20"
40,90,"T",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,100,"T",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,10,"T",0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,20,"T",0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,30,"T",0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,40,"T",0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,50,"T",0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,60,"T",0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,70,"T",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,80,"T",0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,90,"T",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,100,"T",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,10,"R",0.75,0.65,0.55,0.5,0.65,0.7,0.55,0.7,0.85,0.9,0.65,0.9,0.65,0.8,0.65,0.65,0.65,0.6,0.55,0.7
10,20,"R",0.7,0.65,0.65,0.65,0.6,0.7,0.65,0.7,0.85,0.9,0.75,0.85,0.8,0.8,0.7,0.6,0.65,0.7,0.65,0.8
10,30,"R",0.8,0.75,0.75,0.75,0.6,0.75,0.8,0.75,0.7,0.95,0.65,0.9,0.8,0.7,0.75,0.55,0.65,0.7,0.55,0.8
10,40,"R",0.8,0.85,0.7,0.85,0.8,0.8,0.75,0.7,0.75,1,0.65,0.8,0.85,0.8,0.75,0.7,0.55,0.75,0.45,0.8
10,50,"R",0.75,0.75,0.65,0.75,0.75,0.8,0.8,0.9,0.7,0.95,0.7,0.85,0.9,0.8,0.7,0.6,0.7,0.7,0.75,0.9
10,60,"R",0.85,0.85,0.75,0.75,0.75,0.8,0.8,0.85,0.8,0.85,0.6,0.85,0.9,0.85,0.65,0.7,0.7,0.7,0.8,0.9
