"","m = 10","m = 20","m = 30","m = 40","m = 50","m = 60","m = 70","m = 80","m = 90","m = 100"
"n = 10",0.04,0.01,0,0,0,0,0,0,0,0
"n = 20",0.0175,0,0,0,0,0,0,0,0,0
"n = 30",0.02,0,0,0,0,0,0,0,0,0
"n = 40",0.02875,0.00125,0,0,0,0,0,0,0,0
"n = 50",0.032,0.001,0,0,0,0,0,0,0,0
