"","m = 10","m = 20","m = 30","m = 40","m = 50","m = 60","m = 70","m = 80","m = 90","m = 100"
"n = 10",0,0,0,0,0,0,0,0,0,0
"n = 20",0.015,0,0,0,0,0,0,0,0,0
"n = 30",0.015,0,0,0,0,0,0,0,0,0
"n = 40",0.00749999999999998,0,0,0,0,0,0,0,0,0
"n = 50",0.00900000000000001,0,0,0,0,0,0,0,0,0
