"Num.of.Individuals","Num.of.Markers","Type","Accuracy"
13,10,"T",1
13,20,"T",1
13,30,"T",1
13,40,"T",1
13,50,"T",1
13,60,"T",1
13,70,"T",1
13,80,"T",1
13,90,"T",1
13,100,"T",1
13,10,"R",0.846153846153846
13,20,"R",0.927692307692308
13,30,"R",0.966153846153846
13,40,"R",0.98
13,50,"R",0.990769230769231
13,60,"R",0.996923076923077
13,70,"R",0.996923076923077
13,80,"R",1
13,90,"R",1
13,100,"R",1
