"","m = 10","m = 20","m = 30","m = 40","m = 50","m = 60","m = 70","m = 80","m = 90","m = 100"
"n = 10",0.14,0.045,0.01,0.005,0,0,0,0,0,0
"n = 20",0.145,0.0425,0.005,0.005,0,0,0,0,0,0
"n = 30",0.145,0.0383333333333334,0.0216666666666667,0.00500000000000002,0.00166666666666667,0,0,0,0,0
"n = 40",0.155,0.0475,0.00999999999999996,0.00374999999999999,0.00750000000000001,0.00125,0,0,0,0
"n = 50",0.16,0.052,0.012,0.00700000000000001,0.002,0,0,0,0,0
