"","m = 10","m = 20","m = 30","m = 40","m = 50","m = 60","m = 70","m = 80","m = 90","m = 100"
"n = 10",0.065,0.01,0,0,0,0,0,0,0,0
"n = 20",0.06,0.0175,0,0,0,0,0,0,0,0
"n = 30",0.0916666666666667,0.01,0,0,0,0,0,0,0,0
"n = 40",0.06,0.00499999999999998,0.00249999999999999,0,0,0,0,0,0,0
"n = 50",0.058,0.00800000000000001,0.001,0,0,0,0,0,0,0
