"","m = 10","m = 20","m = 30","m = 40","m = 50","m = 60","m = 70","m = 80","m = 90","m = 100"
"n = 10",0.095,0.015,0.005,0.005,0,0,0,0,0,0
"n = 20",0.105,0.025,0.005,0.0025,0,0,0,0,0,0
"n = 30",0.1,0.0133333333333334,0.00166666666666667,0,0,0,0,0,0,0
"n = 40",0.09375,0.02375,0.00874999999999998,0,0,0,0,0,0,0
"n = 50",0.087,0.026,0.004,0.001,0,0,0,0,0,0
